2026-04-01 11:02:24 [info     ] cgu_collector_init             num_keys=7 rpm_per_key=400 total_rpm=2800
2026-04-01 11:02:52 [warning  ] rate_limit_or_auth_retry       codigo=550015000012020NS001469 retry=1 status=401
2026-04-01 11:02:52 [warning  ] rate_limit_or_auth_retry       codigo=153173152532020NS060505 retry=1 status=401
2026-04-01 11:02:53 [warning  ] rate_limit_or_auth_retry       codigo=120641000012020NE801405 retry=1 status=401
2026-04-01 11:02:54 [warning  ] rate_limit_or_auth_retry       codigo=120641000012021OB801908 retry=1 status=401
2026-04-01 11:02:55 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS004791 retry=1 status=401
2026-04-01 11:02:56 [warning  ] rate_limit_or_auth_retry       codigo=130141000012023OB800798 retry=1 status=401
2026-04-01 11:02:56 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020OB808019 retry=1 status=401
2026-04-01 11:02:57 [warning  ] rate_limit_or_auth_retry       codigo=153173152532020NS060893 retry=1 status=401
2026-04-01 11:02:57 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NE802776 retry=1 status=401
2026-04-01 11:02:58 [warning  ] rate_limit_or_auth_retry       codigo=130141000012021NS000838 retry=1 status=401
2026-04-01 11:02:58 [warning  ] rate_limit_or_auth_retry       codigo=180006000012023NS003304 retry=1 status=401
2026-04-01 11:02:59 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE821137 retry=1 status=401
2026-04-01 11:02:59 [warning  ] rate_limit_or_auth_retry       codigo=257001000012021NS050327 retry=1 status=401
2026-04-01 11:03:00 [warning  ] rate_limit_or_auth_retry       codigo=533013532022020NS004012 retry=1 status=401
2026-04-01 11:03:00 [warning  ] rate_limit_or_auth_retry       codigo=153173152532020NE650535 retry=1 status=401
2026-04-01 11:03:01 [warning  ] rate_limit_or_auth_retry       codigo=130141000012021NS000838 retry=2 status=401
2026-04-01 11:03:01 [warning  ] rate_limit_or_auth_retry       codigo=330013000012020NE441050 retry=1 status=401
2026-04-01 11:03:01 [warning  ] rate_limit_or_auth_retry       codigo=533013532022020NE800285 retry=1 status=401
2026-04-01 11:03:02 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE823991 retry=1 status=401
2026-04-01 11:03:02 [warning  ] rate_limit_or_auth_retry       codigo=160536000012020NE800447 retry=1 status=401
2026-04-01 11:03:02 [warning  ] rate_limit_or_auth_retry       codigo=160536000012021NS000515 retry=1 status=401
2026-04-01 11:03:03 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE821385 retry=1 status=401
2026-04-01 11:03:03 [warning  ] rate_limit_or_auth_retry       codigo=110594000012023NS000891 retry=1 status=401
2026-04-01 11:03:04 [warning  ] rate_limit_or_auth_retry       codigo=788310000012020NE000563 retry=1 status=401
2026-04-01 11:03:04 [warning  ] rate_limit_or_auth_retry       codigo=110594000012020NE800069 retry=1 status=401
2026-04-01 11:03:05 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE811131 retry=1 status=401
2026-04-01 11:03:05 [info     ] progresso_backfill             atualizados=275 erros=1 eta_min=940.0 pct=0.1% processed=500 rate=12.9/s total=730555 zeros=224
2026-04-01 11:03:05 [warning  ] rate_limit_or_auth_retry       codigo=330013000012021NS008871 retry=1 status=401
2026-04-01 11:03:06 [warning  ] rate_limit_or_auth_retry       codigo=180073000012020OB800192 retry=1 status=401
2026-04-01 11:03:06 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE821385 retry=2 status=401
2026-04-01 11:03:06 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE805287 retry=1 status=401
2026-04-01 11:03:07 [warning  ] rate_limit_or_auth_retry       codigo=373015372012020NS000933 retry=1 status=401
2026-04-01 11:03:07 [warning  ] rate_limit_or_auth_retry       codigo=373015372012020NS001045 retry=1 status=401
2026-04-01 11:03:08 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021NS000022 retry=1 status=401
2026-04-01 11:03:08 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021GP800013 retry=1 status=401
2026-04-01 11:03:08 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021GP800015 retry=1 status=401
2026-04-01 11:03:09 [warning  ] rate_limit_or_auth_retry       codigo=180073000012020OB800192 retry=2 status=401
2026-04-01 11:03:09 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021GP800024 retry=1 status=401
2026-04-01 11:03:10 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021OB800396 retry=1 status=401
2026-04-01 11:03:10 [warning  ] rate_limit_or_auth_retry       codigo=130141000012020NS005207 retry=1 status=401
2026-04-01 11:03:11 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021NS000022 retry=2 status=401
2026-04-01 11:03:11 [warning  ] rate_limit_or_auth_retry       codigo=373015372012021GP800013 retry=2 status=401
2026-04-01 11:03:12 [warning  ] rate_limit_or_auth_retry       codigo=257001000012020NE824011 retry=1 status=401
2026-04-01 11:03:12 [warning  ] rate_limit_or_auth_retry       codigo=533013532022023NS002500 retry=1 status=401
2026-04-01 11:03:12 [warning  ] rate_limit_or_auth_retry       codigo=200400000012022OB800001 retry=1 status=401
