codigoEmenda,ano,tipoEmenda,autor,nomeAutor,numeroEmenda,localidadeDoGasto,funcao,subfuncao,valorEmpenhado,valorLiquidado,valorPago,valorRestoInscrito,valorRestoCancelado,valorRestoPago
202341320014,2023,Emenda Individual - Transferências com Finalidade Definida,TABATA AMARAL,TABATA AMARAL,0014,SÃO PAULO (UF),Cultura,Difusão cultural,"22,00","0,00","0,00","0,00","0,00","22,00"
202328180008,2023,Emenda Individual - Transferências com Finalidade Definida,TIRIRICA,TIRIRICA,0008,Nacional,Defesa nacional,Administração geral,"220.309,94","104.960,87","65.607,92","0,00","0,01","154.702,01"
202337060003,2023,Emenda Individual - Transferências com Finalidade Definida,LUCIO MOSQUINI,LUCIO MOSQUINI,0003,RONDÔNIA (UF),Saúde,Assistência hospitalar e ambulatorial,"225.840,00","162.920,00","162.920,00","0,00","0,00","62.920,00"
202319550009,2023,Emenda Individual - Transferências com Finalidade Definida,JOAO CAMPOS,JOAO CAMPOS,0009,GOIÁS (UF),Desporto e lazer,Desporto comunitário,"225.841,00","125.707,36","125.707,36","133,64","0,00","10,00"
202314030005,2023,Emenda Individual - Transferências com Finalidade Definida,LEONARDO MONTEIRO,LEONARDO MONTEIRO,0005,MINAS GERAIS (UF),Assistência social,Alimentação e nutrição,"225.841,00","125.841,00","125.841,00","0,00","0,00","10,00"
202339950012,2023,Emenda Individual - Transferências com Finalidade Definida,GENERAL PETERNELLI,GENERAL PETERNELLI,0012,Nacional,Múltiplo,Múltiplo,"228.089,00","25.799,90","25.799,90","88.400,20","0,00","113.888,90"
202316900002,2023,Emenda Individual - Transferências com Finalidade Definida,RENILDO CALHEIROS,RENILDO CALHEIROS,0002,Nacional,Educação,Ensino superior,"232.890,36","178.526,74","178.526,74","0,00","0,00","54.363,62"
202329790004,2023,Emenda Individual - Transferências com Finalidade Definida,FABIO REIS,FABIO REIS,0004,SERGIPE (UF),Comunicações,Tecnologia da informação,"233.682,00","0,00","0,00","226.182,00","0,00","7.500,00"
202338940004,2023,Emenda Individual - Transferências com Finalidade Definida,JOSE MARIO SCHREINER,JOSE MARIO SCHREINER,0004,GOIÁS (UF),Assistência social,Assistência comunitária,"235.275,00","85.275,00","85.275,00","0,00","0,00","15,00"
202327150008,2023,Emenda Individual - Transferências com Finalidade Definida,RUY CARNEIRO,RUY CARNEIRO,0008,JOÃO PESSOA - PB,Educação,Assistência hospitalar e ambulatorial,"235.340,00","43.840,00","43.840,00","0,00","0,00","191.500,00"
202337690009,2023,Emenda Individual - Transferências com Finalidade Definida,TEREZA CRISTINA,TEREZA CRISTINA,0009,MATO GROSSO DO SUL (UF),Saúde,Assistência hospitalar e ambulatorial,"235.758,00","235.758,00","235.758,00","0,00","0,00","0,00"
202339790003,2023,Emenda Individual - Transferências com Finalidade Definida,FABIO HENRIQUE,FABIO HENRIQUE,0003,SERGIPE (UF),Segurança pública,Policiamento,"237.948,06","7.990,00","7.990,00","63.998,21","0,00","165.959,85"
202326330022,2023,Emenda Individual - Transferências Especiais,ACIR GURGACZ,ACIR GURGACZ,0022,CAMPO NOVO DE RONDÔNIA - RO,Encargos especiais,Outras transferências,"239.488,00","239.488,00","239.488,00","0,00","0,00","0,00"
202340700005,2023,Emenda Individual - Transferências com Finalidade Definida,TALIRIA PETRONE,TALIRIA PETRONE,0005,Nacional,Direitos da cidadania,"Direitos individuais, coletivos e difusos","240.372,57","240.372,01","240.372,01","0,00","0,56","0,00"
202329270004,2023,Emenda Individual - Transferências Especiais,DELEGADO WALDIR,DELEGADO WALDIR,0004,GOIÁS (UF),Encargos especiais,Outras transferências,"240.671,00","240.671,00","240.671,00","0,00","0,00","0,00"
202337690008,2023,Emenda Individual - Transferências com Finalidade Definida,TEREZA CRISTINA,TEREZA CRISTINA,0008,MATO GROSSO DO SUL (UF),Saúde,Assistência hospitalar e ambulatorial,"240.872,00","240.872,00","240.872,00","0,00","0,00","0,00"
202341190006,2023,Emenda Individual - Transferências com Finalidade Definida,MARIA ROSAS,MARIA ROSAS,0006,Exterior,Relações exteriores,Difusão cultural,"240.915,16","240.915,16","240.915,16","0,00","0,00","0,00"
202340530017,2023,Emenda Individual - Transferências com Finalidade Definida,PAULA BELMONTE,PAULA BELMONTE,0017,Nacional,Defesa nacional,Defesa terrestre,"241.215,13","45.550,96","45.550,96","63.747,49","0,00","131.916,68"
202339610008,2023,Emenda Individual - Transferências com Finalidade Definida,DR. JAZIEL,DR. JAZIEL,0008,CEARÁ (UF),Múltiplo,Múltiplo,"243.773,68","140.946,52","140.946,52","51.353,07","0,00","51.474,09"
202341020022,2023,Emenda Individual - Transferências com Finalidade Definida,HELIO LOPES,HELIO LOPES,0022,RESENDE - RJ,Defesa nacional,Atenção básica,"243.831,82","239.850,00","239.850,00","0,00","0,00","3.981,82"
